id,text
274,Difficult,Simple,Embarrasing,Proud,Sweet ,bitter,Depressed,Positive,Expensive,Cheap
275,table,tree,mouse,cat,water,food,wood,fire,banana,apple
276,book,tv,pencil,statue,tea,people,fruit,plant,gas,lunchbox
277,nose,mouse,circle,death,car,shelf,water,pink,titanium,plank
278,boob,glasses,milk,flower,gold,gun,blood,card,game,football
279,apple,aircraft,student,restaurant,apartment,library,ferry,bottle,car,headphones
280,calculator ,tissues,sky,apple,toilet,mum,hair,tree,nails,train
281,Banana,Anger,Ball,Daytime,Apartment,Sea foam,Ear,Butler,Chip,Twirl
282,finger,barn,teacher,garage,hospital,fork,pyjamas,fan,soil,bubblewrap
283,table ,cat ,space,fly ,floor ,University ,show ,number,ion ,orange 
284,fable,melon,riot,wrist,hope,season,discipline,device,wonder,sleep
285,chocolate,rice,sun,table,road,finger,month,essay,phone,concert
