originality,DSI_ukwac,DSI_subtitle,DSI_baroni,DSI_glove,DSI_TASA,LSE,dat
0,0.8683198739,0.9335134294,0.9140822423,0.9179541385,0.9890320236,0.888,79.8847689249
0.4,0.879764062,0.9061397181,0.9201281804,0.8524389839,0.9812755432,0.869,81.4727046616
0,0.8515799416,0.8968011171,0.889747613,0.8849846196,0.977238921,0.837,76.6446827778
0,0.8465221833,0.9228943348,0.9193472248,0.8670279791,1.005327134,0.766,71.271640559
0.7,0.8111043375,0.9199914169,0.8988472762,0.8227192511,0.9881124455,0.875,72.2201189115
0,0.8806793616,0.9559113589,0.9241838854,0.908295216,0.9994777172,0.921,81.3091480661
0.1,0.8831709028,0.9097530449,0.9177351883,0.9229318912,0.9855186537,0.871,83.7121562655
1.3,0.8797218927,0.9330756605,0.9194887542,0.8546120725,1.0005816344,0.912,77.9130972212
0.2,0.8467843469,0.9104089851,0.901540424,0.9203202894,0.9872350192,0.825,80.7827878497
0.8,0.8097559443,0.8922146472,0.8981604071,0.8650550014,0.9769087003,0.808,75.1001499593
0,0.836039687,0.9448742381,0.9085041632,0.8722472548,0.9862877074,0.884,75.3560217363
0,0.8699762014,0.9440908861,0.9327698018,0.8817744063,1.0096261517,0.887,75.5539797601
0.8,0.8290397849,0.9275748361,0.9247183807,0.8173871299,0.9847209423,0.83,73.075652974
0.1,0.8429580071,0.9307984964,0.9317851943,0.8923536114,1.0045140193,0.926,85.6523393698
0.6,0.7640258336,0.9005242199,0.8773750303,0.819861345,0.9860935885,0.65,78.281760677
0.6,0.8369373269,0.9042089391,0.9005906266,0.8797205301,0.9801717965,0.798,71.9517905797
0,0.7543863588,0.9028561571,0.8961533265,0.7379012406,0.9833107165,0.817,57.1310530816
0,0.8101101624,0.9177891945,0.8928656769,0.8175653997,1.0014670946,0.823,75.8972896706
0.2,0.859074517,0.9131279497,0.9067649476,0.8815068881,0.9921347607,0.871,79.6617053006
0.2,0.8723316871,0.944521567,0.9322245559,0.9029196587,1.0055370966,0.867,82.8802921499
0,0.8394701266,0.9254533535,0.9221822817,0.8456873249,1.0054871332,0.899,73.8376635881
0.7,0.8371831622,0.9319921863,0.9034855209,0.9019626633,0.9991736059,0.898,83.2226382835
0.5,0.8960941122,0.9353256281,0.9458717829,0.9471002363,1.0067903669,0.878,81.0437081648
0.6,0.8437274638,0.9214854074,0.8918950464,0.8776449251,1.0076340517,0.789,80.1634048866
0.2,0.8694297986,0.9272109366,0.9359015537,0.8897871564,0.9720230638,0.852,81.4236095441
0.2,0.8807565577,0.8965668568,0.9131686447,0.9305250285,0.9874043605,0.945,85.2631354305
0,0.8689611299,0.9475600103,0.9261619793,0.924033803,0.9907104778,0.882,79.2753958276
0.1,0.767523634,0.8603437796,0.8695561919,0.7942648154,0.9714503042,0.743,74.481203478
0.1,0.8484622867,0.9117178439,0.9074785574,0.9165481447,0.9959643566,0.896,78.3528095732
0.3,0.879248709,0.9087263496,0.9124595947,0.8885336367,1.0020281286,0.891,78.49845017
0.1,0.7954136783,0.885092717,0.8807623734,0.8760302494,0.9959328812,0.89,77.5491895243
0,0.7713262286,0.8845728035,0.8579914042,0.7806817835,0.9667396134,0.726,61.9465027537
1.5,0.8092602174,0.8818007037,0.9055392221,0.861236414,0.9828660164,0.823,77.1173072181
0.8,0.8149129376,0.9242756033,0.9095998958,0.8486765066,0.9879957098,0.856,76.0589083745
0.2,0.7789428682,0.7778948624,0.8163061321,0.8364477401,0.924938548,0.759,75.9012744008
